ISBN,Título,Autor,Editorial,Edición,Estante
9789874523099,500 Viales Y Ninguna Maquina,Jorge Alberto Penayo,Gerardo Aranda,2022,0
9789508891969,200,Guido Indij,La Marca Editora,2010,0
9789500206983,Winston S. Churchill La Segunda Guerra Mundial ,Winston S. Charchill,El Ateneo,2019,0
9788433973870,Che Guevara,Jon Lee Anderson,Anagrama,2006,0
9788434444683,El Valor De Elegir,Fernando Savater,Ariel,2004,0
9788490626054,El Precio De La Desigualdad,Joseph E. Stiglitz,Penguin Random House Grupo Editorial,2020,0
9789500762533,Recuerdos Que Mienten Un Poco,Indio Solari,Sudamericana,2019,0
9789876286183,Diario De Una Temporada En El Quinto Piso,Juan Carlos Torre,Edhasa,2021,0
9788408006732,La Doctrina Del Shock,Naomi Klein,Grupo Planeta Spain,2021,0
9789872601416,La Caida De Rosas,Jose Maria Rosas,Punto De Encuentro,2010,6
9789507311536,Ernesto Sabato-Obra Completa,Edicion: Ricardo Ibarlucia,Seix Barral,2007,6
9789870430896,El Largo Camino Hacia La Libertad,Nelson Mandela,Aguilar,2016,6
9789505578122,Trotski - Revolucionario Sin Fronteras,Jean-Jacques Marie,Fondo De Cultura Economica,2009,6
9789500763035,Sinceramente,Cristina Fernandez De Kirchner,Sudamericana,2019,6
9789504924364,El Presidente Que No Fue,Miguel Bonasso,Planeta,1997,6
9789504927273,El Mal - La Barrick Gold  Amos Y Servidores En El Saqueo De La Argentina,Miguel Bonasso,Planeta,2011,6
9789870423331,Artigas,Pacho O'Donnell,Aguilar,2012,6
9789504928799,Evita. Jirones De Su Vida,Felipe Pigna,Grupo Planeta Spain,2012,6
9789870904890,Gaudete Et Exsultate [Sobre El Llmado A La Santidad],Papa Francisco,San Pablo,2018,4
9783439183452,Jesus Y El Cristianismo,Mahatma Gandhi,Cristal S.A.,1992,4
9783439253452,Iii Coloquio Internacional Filosofia In-Sistencial Y Cultura 1983,Ismael Quiles,Fundacion Ser Y Saber,1988,4
9781981513581,Filosofia In-Sistencial Y Educacion,Ismael Quiles,Depalma,1983,4
9786753241280,La Psicologia De La Autoestima,Nathaniel Branden,Paidos,2001,4
9785238648316,Filosofia De La Religion,P. Ismael Quiles,Espasa Calpe,1949,4
9785238428314,Que Es El Catolicismo,Ismael Quiles,Columba,1954,4
9795843291388,Persona Y Sociedad Hoy,Ismael Quiles,Universitaria De Bs.As.,1970,4
9789500735247,"Sabato, El Hombre",Julia Constenla,Sudamericana,2011,6
9788496778818,"Cuerpos Sin Edad, Mentes Sin Tiempo",Deepak Chopra,Zeta,2010,4
9789505813995,"Perón: Formación, Ascenso Y Caída, 1893-1955",Norberto Galasso,Ediciones Colihue Srl,2005,6
9789505814008,"Perón: Exilio, Resistencia, Retorno Y Muerte, 1955-1974",Norberto Galasso,Ediciones Colihue Srl,2005,6
9782537946310,Introduccion A La Filososfia,Ismael Quiles,Depalma,1983,4
9788965328735,Filosofia Y Vida,Ismael Quiles,Depalma,1983,4
9786234862181,La Persona Humana,Ismael Quiles,Kraft,1967,4
9789509122024,Etica Para Amador,Fernando Savater,Ariel,1991,4
9789508522474,Historia De La Filosofia - Sin Temor Ni Temblor-,Fernando Savater,Espasa,2009,4
9789501287509,Breve Historia De La Filosofia Occidental,Anthony Kenny,Paidos,2009,4
9789507434372,Factfulnes (Veracidad)(Diez Razones Por Las Que Estamos Equivocados Sobre El Mundo),Hans Rosling,Valletta Ediciones,2019,4
9789875710276,Miseria De La Filosofía,Karl Marx,Gradifco,2007,4
